# Список (потенциально всех) русских названий улиц
# Для удобства:
# - Не удаляйте заголовок
# - Поддерживайте сортировку списка (см. скрипт sort.sh)
# - Добавляйте комментарии к неочевидным названиям (Ангелов переулок,
#   Усачёва улица) и проблемам с е/ё; в комментарии указывайте регион,
#   где название встречается и, если возможно, ссылки на информацию
#   почему название именно такое
# - Комментарии начинаются с # <- 30-й позиции в строке
# - Возможные ошибки, которые надо расследовать и исправить, отмечаются
#   XXX или FIXME
# - Для названий, проверенных по внешним источникам, добавляйте тэги
#   в комментариях. При изменении, соответственно, тэг следует убрать.
#   На данный момент:
#     [ОМКУМ] - классификатор улиц Москвы
1-й Набережный тупик
1-й Нагатинский проезд
1-й Нарвский переулок
1-й Невьянский переулок
1-й Некрасовский переулок
1-й Некрасовский проезд
1-й Неопалимовский переулок
1-й Нижнелихоборский проезд
1-й Нижний Михайловский проезд
1-й Николощеповский переулок
1-й Новаторский переулок
1-й Новокузнецкий переулок
1-й Новомихалковский проезд
1-й Новоподмосковный переулок
1-й Новотихвинский переулок
1-й Новый переулок
1-й Новый проезд
1-й Облепиховый тупик
1-й Обыденский переулок
1-й Овражный переулок
1-й Овражный проезд
1-й Огородный проезд
1-й Огородный тупик
1-й Озерковский переулок
1-й Озёрный переулок
1-й Окружной переулок
1-й Октябрьский переулок
1-й Октябрьский проезд
1-й Ольховский переулок
1-й Ольховский тупик
1-й Оранжерейный проезд
1-й Осенний переулок
1-й Островной проезд
1-й Очаковский переулок
1-й Павелецкий проезд
1-й Павловский переулок
1-й Павловский тупик
1-й Панковский проезд
1-й Парковый переулок
1-й Паровозный переулок
1-й Партизанский переулок
1-й Пенягинский проезд
1-й Первомайский переулок
1-й Первомайский проезд
1-й Пермский переулок
1-й Песочный проезд
1-й Песчаный переулок
1-й Петергофский мост
1-й Петропавловский переулок
1-й Пехотный переулок
1-й Пионерский переулок
1-й Пограничный переулок
1-й Подгорный переулок
1-й Подольский переулок
1-й Подъёмный переулок
1-й Покровский проезд
1-й Полевой переулок
1-й Полевой проезд
1-й Полтавский переулок
1-й Поперечный переулок
1-й Поперечный проезд
1-й Порядковый тупик
1-й Почтовый переулок
1-й Проездной переулок
1-й Пролетарский переулок
1-й Пролетарский тупик
1-й Промышленный переулок
1-й Путейский переулок
1-й Пушкинский переулок
1-й Пятницкий переулок
1-й Рабочий переулок
1-й Рабфаковский переулок
1-й Раушский переулок
1-й Речной проезд
1-й Ржевский переулок
1-й Рижский переулок
1-й Рижский тупик
1-й Рожденственский тупик
1-й Рощинский проезд
1-й Рупасовский переулок
1-й Ручейный тупик
1-й Рязанский проезд
1-й Садовый мост
1-й Салтыковский проезд
1-й Самотёчный переулок      # Москва, http://ru.wikipedia.org/wiki/1-й_Самотёчный_переулок
1-й Санаторный проезд
1-й Сапёрный проезд
1-й Саратовский проезд
1-й Свирский переулок
1-й Свободный переулок
1-й Связной переулок
1-й Севастопольский переулок
1-й Северный переулок
1-й Северный проезд
1-й Сельскохозяйственный проезд
1-й Сентябрьский проезд
1-й Серноводский тупик
1-й Сетуньский проезд
1-й Силикатный проезд
1-й Сиреневый переулок
1-й Сиреневый проезд
1-й Славянский переулок
1-й Слободской переулок
1-й Слободской проезд
1-й Смоленский мост
1-й Смоленский переулок
1-й Снайперский переулок
1-й Советский проспект
1-й Совхозный переулок
1-й Солдатский переулок
1-й Солнечный переулок
1-й Спасоналивковский переулок
1-й Спортивный переулок
1-й Спортивный проезд
1-й Ставропольский переулок
1-й Стадионный переулок
1-й Станочный переулок
1-й Стекольный переулок
1-й Степной переулок
1-й Стрелецкий проезд
1-й Строительный проезд
1-й Студенческий проезд
1-й Студёный проезд
1-й Суворовский переулок
1-й Сухой переулок
1-й Сухумский переулок
1-й Сыромятнический переулок
1-й Таганрогский переулок
1-й Тверской-Ямской переулок
1-й Тенистый переулок
1-й Тихвинский тупик
1-й Тихий переулок
1-й Токмаковский тупик
1-й Тополиный переулок
1-й Торфяной переулок
1-й Транспортный проезд
1-й Троицкий переулок
1-й Трудовой переулок
1-й Тульский переулок
1-й Тупиковый переулок
1-й Туруханский переулок
1-й Тушинский проезд
1-й Угрешский проезд
1-й Узкий переулок
1-й Фабричный проезд
1-й Фестивальный переулок
1-й Фестивальный проезд
1-й Флотский переулок
1-й Футбольный проезд
1-й Хвостов переулок         # Москва, http://ru.wikipedia.org/wiki/Первый_Хвостов_переулок
1-й Хлебный переулок
1-й Хорошёвский проезд
1-й Хуторской переулок
1-й Цементный проезд
1-й Центральный проезд
1-й Цимлянский переулок
1-й Чайковский переулок
1-й Черноморский переулок
1-й Чукотский переулок
1-й Шибаевский переулок
1-й Широкий переулок
1-й Широкий проезд
1-й Широкий тупик
1-й Школьный переулок
1-й Школьный проезд
1-й Шлюзовый мост            # Москва; XXX: Шлюзовый или Шлюзовой?
1-й Щемиловский переулок
1-й Щипковский переулок
1-й Щёлковский проезд
1-й Элеваторный переулок
1-й Электрозаводский переулок
1-й Электронный переулок
1-й Южнопортовый проезд
1-й Южный переулок
1-й Южный проезд
1-й Южный тупик
1-й Ярославский переулок
1-й квартал Капотня
1-й микрорайон
1-й переулок 8 Марта
1-й переулок Вагонников
1-й переулок Васнецова
1-й переулок Ватутина
1-й переулок Володарского
1-й переулок Гастелло
1-й переулок Горького
1-й переулок Грекова
1-й переулок Декабристов
1-й переулок Демьяна Бедного
1-й переулок Джамбула
1-й переулок Дзержинского
1-й переулок Достоевского
1-й переулок Измайловского Зверинца
1-й переулок Калинина
1-й переулок Карла Маркса
1-й переулок Кирова
1-й переулок Короленко
1-й переулок Красина
1-й переулок Куйбышева
1-й переулок Кулибина
1-й переулок Кутузова
1-й переулок Ленина
1-й переулок Льва Толстого
1-й переулок Матросова
1-й переулок Маяковского
1-й переулок Металлистов
1-й переулок Мечты
1-й переулок Мира
1-й переулок Можайского
1-й переулок Монтажников
1-й переулок Некрасова
1-й переулок Павлова
1-й переулок Пархоменко
1-й переулок Пестеля
1-й переулок Петра Алексеева
1-й переулок Пугачёва
1-й переулок Радищева
1-й переулок Сергея Лазо
1-й переулок Спартака
1-й переулок Танкистов
1-й переулок Тружеников
1-й переулок Тургенева
1-й переулок Ульянова
1-й переулок Успенского
1-й переулок Хижняка
1-й переулок Чайкиной
1-й переулок Чайковского
1-й переулок Чапаева
1-й переулок Чернышевского
1-й переулок Чехова
1-й переулок Чкалова
1-й переулок Щербакова
1-й переулок Энгельса
1-й проезд
1-й проезд Автомобилистов
1-й проезд Артёма
1-й проезд Бабушкина
1-й проезд Белинского
1-й проезд Ватутина
1-й проезд Гагарина
1-й проезд Гайдара
1-й проезд Гоголя
1-й проезд Грибоедова
1-й проезд Декабристов
1-й проезд Дзержинского
1-й проезд Добролюбова
1-й проезд Достоевского
1-й проезд Зои Космодемьянской
1-й проезд Карла Либкнехта
1-й проезд Клочкова
1-й проезд Котовского
1-й проезд Красных Зорь
1-й проезд Куйбышева
1-й проезд Леонова
1-й проезд Лермонтова
1-й проезд Ломоносова
1-й проезд Льва Толстого
1-й проезд Марьиной Рощи
1-й проезд Металлистов
1-й проезд Металлургов
1-й проезд Мичурина
1-й проезд Некрасова
1-й проезд Олега Кошевого
1-й проезд Перова Поля
1-й проезд Победы
1-й проезд Подбельского
1-й проезд Разина
1-й проезд Станиславского
1-й проезд Стасова
1-й проезд Строителей
1-й проезд Толбухина
1-й проезд Чехова
1-й просек
1-й проспект
1-й тупик
1-й тупик Гоголя
1-й тупик Кангас
1-й тупик Тельмана
1-я Авиационная улица
1-я Автогенная улица
1-я Автозаводская улица
1-я Автомобильная улица
1-я Агрегатная улица
1-я Академическая улица
1-я Алексеевская улица
1-я Алтайская улица
1-я Амурская улица
1-я Аральская улица
1-я Арзамасская улица
1-я Армавирская улица
1-я Артельная улица
1-я Аэродромная улица
1-я Аэропортовская улица
1-я Базовская улица
1-я Барбарисовая улица
1-я Баррикадная улица
1-я Бауманская улица
1-я Белогорская улица
1-я Белорецкая улица
1-я Березовская улица
1-я Берендеевская улица
1-я Берёзовая улица
1-я Боевская улица
1-я Болдинская улица
1-я Больничная улица
1-я Большая Окружная улица
1-я Борисоглебская улица
1-я Боровая улица
1-я Бородинская улица
1-я Брестская улица
1-я Бригадная улица
1-я Брянская улица
1-я Валуевская улица
1-я Веерная улица
1-я Верхняя улица
1-я Весёлая улица
1-я Вишнёвая улица
1-я Владивостокская улица
1-я Владимирская улица
1-я Внуковская улица
1-я Военная улица
1-я Вокзальная улица
1-я Волгоградская улица
1-я Володарская улица
1-я Волоколамская улица
1-я Вольская улица
1-я Воронежская улица
1-я Выборгская улица
1-я Высокая улица
1-я Высоковольтная улица
1-я Высотная улица
1-я Вяземская улица
1-я Газетная улица
1-я Героическая улица
1-я Горловская улица
1-я Гражданская улица
1-я Григоровская улица
1-я Грузинская улица
1-я Грушевая улица
1-я Грушевская улица
1-я Гурьевская улица
1-я Дальневосточная улица
1-я Дальняя улица
1-я Дачная улица
1-я Демидовская улица
1-я Депутатская улица
1-я Деревенская улица
1-я Детская улица
1-я Доможировская улица
1-я Дорожная улица
1-я Дружная улица
1-я Дубровская улица
1-я Дунайская улица
1-я Елабужская улица
1-я Елшанская улица
1-я Енисейская улица
1-я Железногорская улица
1-я Железнодорожная улица
1-я Забайкальская улица
1-я Заводская улица
1-я Загородная улица
1-я Закоторосльная набережная
1-я Замостинская улица
1-я Запрудная улица
1-я Заречная улица
1-я Звеньевая улица
1-я Земледельческая улица
1-я Иваньковская улица
1-я Ижорская улица
1-я Индустриальная улица
1-я Институтская улица
1-я Инструментальная улица
1-я Ипподромная улица
1-я Ирбитская улица
1-я Кабельная улица
1-я Калининградская улица
1-я Калужская улица
1-я Каляевская улица
1-я Каменная улица
1-я Карачаровская улица
1-я Карпатская улица
1-я Карьерная улица
1-я Квесисская улица
1-я Керамическая улица
1-я Киргизская улица
1-я Кировская улица
1-я Клиническая улица
1-я Клинкерная улица
1-я Клубная улица
1-я Ключевая улица
1-я Ключевская улица
1-я Кожевенная улица
1-я Коллективная улица
1-я Колхозная улица
1-я Кольцевая улица
1-я Коммунальная улица
1-я Коммунистическая улица
1-я Комсомольская улица
1-я Консервная улица
1-я Кооперативная улица
1-я Короткая улица
1-я Костромская улица
1-я Красная улица
1-я Красноармейская улица
1-я Краснодарская улица
1-я Краснодонская улица
1-я Краснознамённая улица
1-я Красноказарменная улица
1-я Красноярская улица
1-я Крестьянская улица
1-я Крылатская улица
1-я Кубанская улица
1-я Куликовская улица
1-я Курганская улица
1-я Курьяновская улица
1-я Лагерная улица
1-я Ладожская улица
1-я Левонабережная улица
1-я Ленинградская улица
1-я Лесная улица
1-я Лесопильная улица
1-я Линейная улица
1-я Лиственная улица
1-я Литейная улица
1-я Лодочная улица
1-я Локомотивная улица
1-я Луговая улица
1-я Лыковская улица
1-я Льнозаводская улица
1-я Магистральная улица
1-я Майкопская улица
1-я Майская улица
1-я Марьинская улица
1-я Медицинская улица
1-я Международная улица
1-я Межевая улица
1-я Меланжевая улица
1-я Мелиоративная улица
1-я Мелитопольская улица
1-я Механическая улица
1-я Миусская улица
1-я Мичуринская улица
1-я Молдавская улица
1-я Молзинская улица
1-я Молодёжная улица
1-я Монтажная улица
1-я Мосеевская улица         # Тучково МО
1-я Московская улица
1-я Мостовая улица
1-я Моховая улица
1-я Муравская улица
1-я Мытищинская улица
1-я Мякининская улица
1-я Мясниковская улица
1-я Набережная улица
1-я Напольная улица
1-я Напрудная улица
1-я Наровчатская улица
1-я Некрасовская улица
1-я Нижняя улица
1-я Никитинская улица
1-я Никольская улица
1-я Новаторская улица
1-я Новая улица
1-я Новгородская улица
1-я Новозаводская улица
1-я Новокузьминская улица
1-я Новороссийская улица
1-я Новосельская улица
